g1;codkon;codvuz;z2;g7;g5;g6;g8;g9;g10;g11;g2;g21;g22;g23;g24
 50;01;    93;;55.22;500000;Разработка технологии вакуумного напыления с использованием импульсного электронно-лучевого испарения материалов.;Бобров Г.В.;доцент;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
 51;01;     8;;81.29.29;600000;Разработка научно-технических основ проектирования нового поколения внутрикамерн.средств и систем вакуумн.механики и создание типовых функциональных устройств.;Рубанов В.Г.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 52;01;    60;;81.29.29;500000;Прецизионный теплоэлектрический вакууметр сопротивления для диапазона 0,1-несколько десятков Торр.;Гусев М.Е.;профессор;профессор;доктор технических наук;0;0;0;0;0
 23;01;    96;;55.29.31;500000;Авоматизированная установка для ротационного профилирования и правки с общим нагревом кольцевых заготовок из листовых высокопрочных материалов.;Гончаревич И.Ф.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 53;01;    13;;81.29.29;700000;Исследование электронно-термических и ионных устройств для изготовления миниатюрных СМ-катодов.;Хмарук О.Н.;профессор;профессор;доктор технических наук;0;0;0;0;0
 24;01;    92;;55.29,55.30;400000;Экспертная система станка для обеспечения точности обработки;Зечихин Б.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 61;01;    92;;55.13.17;700000;Научные основы повышения износостойкости пар трения;Чварков Э.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  7;01;    90;;55.09,55.21;500000;Разработка новых композиционных материалов на основе упрочненных алюминиевых сплавов для машиностроения;Бойцов В.Е.;заведующий кафедрой;доцент;кандидат технических наук;0;0;0;0;0
 63;01;    55;;55.13.17;700000;Технологическое обеспечение и повышение качества деталей машин при их изготовлении;Урманчеев Л.М.;декан;профессор;доктор технических наук;0;0;0;0;0
 27;01;    70;;55.31;600000;ПОВЫШЕНИЕ ПРОИЗВОДИТЕЛЬНОСТИ ОБРАБОТКИ РЕЖУЩЕГО ИНСТРУМЕНТА ЗА СЧЕТ ПРИМЕНЕНИЯ ЭФФЕКТИВНЫХ СМАЗОЧНО-ОХЛАЖДАЮЩИХ ЖИДКОСТЕЙ;Рувинский О.Е.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  4;01;    13;;55.21.99;700000;Разработка высокоэффективного технологического процесса получения изделий из порошковых титановых сплавов, основанного на термоводородной обработке;Танкеев С.Г.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 64;01;    93;;55.13.17;500000;Разработка научных основ создания высокоэффективных технологических процессов динамической балансировки роторов лучом лазера;Васильев В.В.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 68;01;    90;;55.15.23;500000;Разработка автоматизированного проектирования технологических средств воздействия на затвердевание и питание отливок при специальных способах литья;Башкатов Д.Н.;профессор;профессор;доктор технических наук;0;0;0;0;0
 15;01;     4;;55.31;400000;Разработка основ единой системы автоматизированного проектирования инструментов, исходя из функционального назначения обрабатываемых поверхностей деталей машин;Комаров В.И.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 73;01;    71;;55.35.99;500000;Разработка высокопроизводительных автоматов с использованием прогрессивных малоотходных технологий изготовления качественных крепежных изделий;Гаевский Н.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 75;02;    79;;87.53;300000;Разработка перспективных полимерных, в том числе текстильных материалов с пониженной горючестью, повышающих безопасность жизнедеятельности человека в быту и на производстве и снижающих материальные по;Арутюнов И.Е.;;;доктор химических наук;0;0;0;0;0
 77;02;    21;;87.01;280000;Исследование диэлектрических и излучательных характеристик мерзлых почвогрунтов в диапазоне СВЧ;Смоленцев В.П.;;;доктор физико-математических наук;0;0;0;0;0
  9;02;    53;;87.33.31,27.43.15;160000;Вероятностные модели рассеивания веществ в атмосфере и их применение;Ляхов А.И.;заведующий кафедрой;доцент;кандидат физико-математических наук;0;0;0;0;0
 80;02;    18;;87.15.03;420000;Разработка оперативных методов фитоиндикации загрязнения окружающей среды;Хмелев К.Ф.;заведующий кафедрой;профессор;кандидат биологических наук;0;0;0;0;0
 16;02;    97;;87.17.81,87.19.81;400000;Физические основы создания сейсмочувствительных информационно-измерительных сетей для мониторинга нестационарных деформационных полей в земной коре;Грохотов Ф.И.;директор;профессор;доктор физико-математических наук;0;0;0;0;0
 87;02;    13;;87.15;360000;Оценка состояния пелагеали Байкала в районах антропогенного воздействия с применением импульсного погружного флуориметра;Сергеев А.Г.;;;;0;0;0;0;0
 89;02;    11;;87.15;300000;Оценка состояния степных экосистем Алтайского края при интенсивном антропогенном воздействии;Буглаев В.Т.;;профессор;доктор биологических наук;0;0;0;0;0
 92;02;    11;;87.15;320000;Оценка состояния пелагиали Байкала в районах антропогенного воздействия;Киппер Э.Е.;заведующий лабораторией;старший научный сотрудник;кандидат биологических наук;0;0;0;0;0
 93;02;    93;;87.15;320000;Сообщества макрозообентоса оз.Байкал в условиях антропогенного воздействия :Байкальский целлюлозно-бумажный комбинат;Исаева И.Л.;ведущий научный сотрудник;;кандидат биологических наук;0;0;0;0;0
 37;02;    93;;87.35.29;360000;Математическое моделирование динамики популяционных и экологических систем при интенcивном антропогенном воздействии;Носов В.К.;профессор;профессор;доктор биологических наук;0;0;0;0;0
 10;02;    92;;87.33.33,87.33.35;300000;Математическое моделирование и оптими-зация процессов функционирования средств дистанционной локализации лесных пожаров системой точечных взрывов;Булеков В.П.;;;кандидат физико-математических наук;0;0;0;0;0
 45;02;    71;;87.19.91,87.19.03;500000;Комплексный подход к оценке состояния водных экосистем малых рекреационных водоемов;Апонасенко А.Д.;заведующий кафедрой;профессор;доктор биологических наук;0;0;0;0;0
 46;02;    71;;87.53.13;300000;Очистка сточных вод от фенолов и нефтепродуктов метоодом озонирования с использованием кавитации;Гольд В.М.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 48;02;    96;;87.15.03,87.26.27;400000;Разработка эффективных и экономичных систем дистанционного контроля загрязнений атмосферы и дистанционного газоанализа;Гладков М.И.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 23;02;    90;;87.55.33,87.55.81;160000;Экологический мониторинг электромагнитных полей и критических частот ионосферы с использованием одного пункта наблюдений;Корчуганова Н.И.;ведущий научный сотрудник;старший научный сотрудник;кандидат физико-математических наук;0;0;0;0;0
  1;02;    90;;87.15.03,87.26.27;180000;молекулярные сорбционно-спектроскопические методы анализа объектов окружающей среды: теория, методики, приборная реализация;Петров Б.К.;декан;профессор;кандидат химических наук;0;0;0;0;0
 25;02;    78;;87.55.33,87.55.81;280000;Исследования уровня электромагнитного фона в диапазоне частот 1-32 МГц и его связей с гелио-геофизическими факторами;Титов В.С.;заведующий кафедрой;старший научный сотрудник;доктор физико-математических наук;0;0;0;0;0
 61;02;    12;;87.23,87.29;600000;Процессы взаимодействия щелочноземельных и редкоземельных элементов в природных и техно-генных ландшафтах Прибайкалья и их влияние на экогенную патологию человека;Памфилов Е.А.;доцент;;кандидат геолого-минералогич. наук;0;0;0;0;0
 69;02;    93;;87.01;320000;Разработать стратегию обеспечения экологической безопасности в регионах с горнодобывающей промышленностью ( на примере Кузбасса);Лисов А.А.;;;доктор философских наук;0;0;0;0;0
