g1;codkon;codvuz;z2;g7;g5;g6;g8;g9;g10;g11;g2;g21;g22;g23;g24
 80;07;    55;;34.35.51,34.29.35;600000;Особенности антропогенной трансформации растительного покрова бассейна Среднего Дона;Раздайбедин А.А.;заведующий кафедрой;профессор;доктор биологических наук;0;0;0;0;0
  2;07;     6;;30.17;240000;Исследование динамики примеси в задачах механики газовзвесей;Сизов А.М.;старший научный сотрудник;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
170;07;    81;;39.03,39.15;700000;Моделирование экоситуаций: динамическое состояние, устойчивость;Шестакова Э.В.;доцент;доцент;кандидат географических наук;0;0;0;0;0
 81;07;    71;;37.31;500000;Исследование природы частотной зависимости электрических свойств горных пород;Григорьев Ю.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 82;07;    28;;37.21.03,27.35.27;700000;Генерация и распространение нелинейных внутренних гравитационных волн в атмосфере;Федоров В.А.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 83;07;   100;;39.03;700000;Глобальный анализ процессов эрозии и их изменения по данным о стоке взвешенных наносов;Смирнов И.С.;профессор;профессор;доктор географических наук;0;0;0;0;0
394;07;   100;;27.29;560000;Исследование нелинейных задач, приводящих к уравнению Эмдена-Фаулера;Чеботарев А.М.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 84;07;   100;;34.39.19;600000;Структурная и функциональная организация фотосенсорных систем брюхоногих моллюсков;Петросянц К.О.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
 86;07;    14;;31.15;500000;Термодинамика комплексообразования и реакций фосфор- и мышьякорганических соединений в растворе и газовой фазе;Аникеев Б.В.;заведующий кафедрой;академик;доктор химических наук;0;0;0;0;0
462;07;    66;;29.19.39,29.19.41;500000;Магнитные фазы и доменная структура в кубических кристаллах с наведенной одноосной анизотропией;Баранцев Р.Г.;заведующий кафедрой;доцент;доктор физико-математических наук;0;0;0;0;0
467;07;    52;;39.03;600000;Развитие береговой зоны Дальнего Востока России в условиях ожидаемых глобальных изменений климата;Пархомов В.А.;заведующий лабораторией;;кандидат географических наук;0;0;0;0;0
 88;07;    92;;34.31;700000;ОЦЕНКА ПОТЕНЦИАЛЬНЫХ ВОЗМОЖНОСТЕЙ МАЛЫХ ПО ПЛОЩАДИ ПРИРОДНЫХ РЕЗЕРВАТОВ В СОХРАНЕНИИ РЕГИОНАЛЬНОГО ФАУНИСТИЧЕСКОГО РАЗНООБРАЗИЯ;Соболев В.И.;заместитель директора;;кандидат биологических наук;0;0;0;0;0
 90;07;    93;;29.19.29;700000;Структурные нестабильности в металлоксидных высокотемпературных сверхпроводниках с перовскитоподобной слоистой структурой;Суминов В.М.;докторант;;кандидат физико-математических наук;0;0;0;0;0
402;07;   100;;29.33.03;500000;Неклассические поляризационные состояния света и квантовый хаос в нелинейных РОС-системах и возможности их наблюдения на основе квантовых невозмущающих измерений параметров Стокса светового поля;Ананьевский И.М.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
390;07;    79;;27.39,27.21;420000;Деквантование и когерентное преобразование операторов;Урбанович Л.И.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
214;07;    53;;27.19,27.21;400000;Топологические и геометрические свойства обобщенных пространств Эйнштейна;Власов В.Г.;профессор;доцент;доктор физико-математических наук;0;0;0;0;0
440;07;    36;;30.51.43;300000;Исследование стато-динамических биомеханических свойств артериального русла в связи с сочетанной эндотелий-зависимой регуляцией давлением и потоком;Бажанский И.И.;старший преподаватель;;кандидат биологических наук;0;0;0;0;0
 52;07;    38;;29.35.03;300000;Голографические методы исследования многокомпонентных вибраций крупногабаритных объектов;Нейдорф Р.А.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
100;07;    41;;27.21.15;300000;Основы теории регулярных гиперполосных распределений и гиперполос аффинного пространства;Гречухин В.Н.;профессор;профессор;кандидат физико-математических наук;0;0;0;0;0
110;07;    35;;29.19.15,29.19.35;400000;Исследование фазовой диаграммы, несоразмерной фазы и динамики решетки в кристаллах семейства K2SO4 и в твердых растворах на их основе;Кульчин Ю.Н.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
101;07;   100;;34.03.23;700000;Теоретическое обобщение статистических методов моделирования и принятия решений в развивающихся биологических системах при априорной неопределенности;Смирнов И.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 19;07;    53;;34.03.39;400000;Биоритмологические корреляты индивидуальных особенностей адаптации (макро- и микро-уровни);Кудряшев В.А.;доцент;;кандидат биологических наук;0;0;0;0;0
392;07;    18;;27.27;480000;Торические многообразия в комплексном анализеи его приложениях;Покорный Ю.В.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
103;07;    93;;29.19.33;500000;Эмиссия электронов и световых квантов в полярных диэлектриках;Борисов А.М.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
104;07;    18;;29.19.15;480000;Взаимосвязь электронных и магнитных свойств сильнокоррелированных систем;Сидоркин А.С.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
107;07;    55;;29.19.31;700000;Горячие электроны и электрический пробой в узкощелевых полупроводниках с сильно вырожденными носителями тока;Щукин А.В.;ассистент;;кандидат физико-математических наук;0;0;0;0;0
 31;07;    71;;29.29;500000;Диамагнитные воспpиимчивости высших поpядков для сдвига и pасщепления атомных линий в сильном магнитном поле;Белов Ю.Я.;профессор;доцент;доктор физико-математических наук;0;0;0;0;0
378;07;     6;;30.19;560000;Моделирование процесса накопления рассеяных повреждений в композитных материалах и процесса изменения механических характеристик при квазистатическом и цикли-ческом нагружениях;Усков В.Н.;ведущий научный сотрудник;старший научный сотрудник;доктор технических наук;0;0;0;0;0
 43;07;    97;;29.29;600000;Циркулярный дихроизм в процессах столкновений атомов с электронами и фотонами;Пастоев И.Л.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
112;07;    92;;29.19.31;600000;Получение и физические свойства гетеропереходов на основе карбида кремния;Самойлов Е.А.;проректор;профессор;доктор физико-математических наук;0;0;0;0;0
 20;07;    90;;29.35.03;400000;Разработка радиофизических принципов и алгоритмов диагностики пространственных объектов при использовании сигналов с высоким разрешением;Комащенко В.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 10;07;     6;;34.33.19;320000;кариосистематика, таксономия и эволюция мелких двукрылых насекомых;Кэрт Б.Э.;заведующий кафедрой;доцент;доктор биологических наук;0;0;0;0;0
372;07;     1;;30.19;560000;Пpочностные свойства матеpиалов со стаpеющим сваpным швом пpи вибpации;Старостенков М.Д.;заведующий кафедрой;член-корреспондент АН;доктор физико-математических наук;0;0;0;0;0
120;07;    13;;27.37.15,27.21.19;420000;"Геометрия ""в целом"" звездных минимальных поверхностей и их приложение к проблеме Саймона";Филимонов В.Н.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
121;07;    77;;27.29;300000;Решение дифференциально-алгебраических уравнений методом продолжения по параметру с наилучшей параметризацией;Благонравов А.А.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
369;07;    40;;29.19.15,29.19.19;400000;Атомистические исследования эволюции многокомпонентных структур;Ефимов Г.В.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
122;07;    92;;27.37;560000;Оптимальное управление импульсными процессами с нелинейным интегральным функционалом;Шалашилин В.И.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
130;07;    55;;31.15;500000;Природа растворителя в энтропийных характеристиках сольватотермодинамических эффектов термоэлектрохимических систем;Гараев К.Г.;заведующий кафедрой;профессор;доктор химических наук;0;0;0;0;0
132;07;    44;;31.15.25,31.15.27;400000;ОДНОВРЕМЕННОЕ ПРИМЕНЕНИЕ КАТАЛИЗА, ПОВЫШЕННОГО ДАВЛЕНИЯ И ТЕМПЕРАТУРЫ В РАВНОВЕСНЫХ РЕАКЦИЯХ ЦИКЛОПРИСОЕДИНЕНИЯ;Кобенин В.А.;заведующий отделом;профессор;доктор химических наук;0;0;0;0;0
350;07;    57;;34.27;400000;Дыхание и энергетические проблемы функционирования экосистем;Жигалко Ю.П.;заведующий кафедрой;профессор;доктор биологических наук;0;0;0;0;0
133;07;    57;;31.15;400000;Межфазные явления в электромембранной системе с поверхностно-активными органическими веществами;Киселев В.Д.;профессор;профессор;доктор химических наук;0;0;0;0;0
147;07;    17;;29.05.29;560000;Рождение чарма в космических лучах: физические модели и данные подземных детекторов и глубоководных установок;Шорин В.А.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 47;07;    66;;31.15.15;700000;Получение, строение и физико-химические свойства новых парамагнитных гетерополидерных комплексов с бидентатными гетеросодержащими лигандами;Флегентов И.В.;заведующий кафедрой;старший научный сотрудник;доктор химических наук;0;0;0;0;0
160;07;    36;;34.49;500000;Обобщение материалов по изучению онтогенеза, поливариантности развития и биоразнообразия популяций растений: создание эколого-онтогенетического музея и онтогенетического атласа;Анисимов А.П.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
177;07;    57;;34.17;700000;Физико-химические основы действия УФ-света и температуры на структурно-функциональное состояние некоторых белков крови в свободном состоянии и в комплексе с эритроцитарными мембранами;Хабутдинов Ю.Г.;заведующий кафедрой;профессор;доктор биологических наук;0;0;0;0;0
183;07;    18;;29.15.03;500000;СТИМУЛИРОВАНИЕ РАДИОАКТИВНЫХ ЯДЕРНЫХ ПРЕВРАЩЕНИЙ И ЭМИССИИ БЫСТРЫХ ЧАСТИЦ ИОН-ИОННЫМИ СТОЛКНОВЕНИЯМИ;Артюхов В.Г.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
191;07;    92;;34.45;700000;Цитоскелет и водный обмен растений: состояние и транспорт воды при действии низких температур и водного стресса;Скубачевский А.Л.;заведующий кафедрой;профессор;доктор биологических наук;0;0;0;0;0
185;07;    18;;27.35.33;400000;Эллиптические и параболические функционально-дифференциальные уравнения, возникающие в задачах нелинейной оптики;Копытин И.В.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
199;07;    57;;31.19;700000;Ультрамикроэлектроды на основе электронных переносчиков как химические сенсоры с низким уровнем шумов;Хохлова Л.П.;заведующий кафедрой;профессор;доктор химических наук;0;0;0;0;0
204;07;    57;;30.19;400000;Феноменологические модели разрушения металлов при больших пластических деформациях;Будников Г.К.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
209;07;    85;;41.21.19;480000;"Разработка модели генерации субсекундных спайков в радиоизлучении солнечных вспышек (""СПАЙК"")";Кийко И.А.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
220;07;     2;;29.29,29.31;600000;Влияние интенсивного оптического излучения на бета-процессы в сильном магнитном поле с учетом температуры и плотности электронного газа;Родионов Е.Д.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
233;07;    90;;41.15;720000;Определение положений радиозвезд;Родионов В.Н.;заведующий отделом;старший научный сотрудник;доктор физико-математических наук;0;0;0;0;0
247;07;    57;;31.15;600000;Окислительно-восстановительная электросорбция;Ризванов Н.Г.;профессор;профессор;доктор химических наук;0;0;0;0;0
466;07;     7;;37.15.33;700000;Геомагнитные пульсации, связанные с импульсным возбуждением околоземных волноводов;Шамсутдинов М.А.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
250;07;    44;;30.19;560000;Построение варианта теории среды слож-ной структуры для расчета высокочастотных колебаний сложных механических систем;Соломоник В.Г.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
251;07;    92;;30.19;560000;Разработка численно-аналитических методов расчета ударных волн в нелинейно- упругих средах;Станкевич А.И.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
255;07;    35;;30.17.02;400000;Моделирование нестационарных струйных течений и теплообмена для внутренних задач газовой динамики с использованием многопроцессорных ЭВМ;Буренин А.А.;доцент;доцент;кандидат технических наук;0;0;0;0;0
268;07;    57;;34.39;700000;Изучение роли эпифитной микрофлоры бурых водорослей в жизнеспособности макрофита-хозяина и сохранении прибрежной экосистемы Японского моря;Соломонов Б.Н.;доцент;;кандидат биологических наук;0;0;0;0;0
269;07;    36;;34.41;400000;Устойчивость растений к стрессорным факторам: исследование состояния воды методами ЯМР-микротомографии и распознавания образов;Дмитриева Г.Ю.;ведущий научный сотрудник;старший научный сотрудник;кандидат биологических наук;0;0;0;0;0
275;07;    57;;34.17.05,34.35.51;600000;Совершенствование методов оценки влияния загрязнений на фотоавтотрофное звено водных экосистем;Муравьева А.С.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
293;07;    18;;31.15.21;400000;Молекуляpно-динамическое моделиpование стpуктуpы и свойств оксидных pасплавов в ионно-ковалентной модели;Игамбердиев А.У.;заведующий кафедрой;доцент;кандидат физико-математических наук;0;0;0;0;0
300;07;    77;;29.19.33;500000;К единой каpтине электpических и магнитных полей на pазличных узлах pешетки в кpисталлах YBa2Cu3O(7-d) и YBa2Cu4O8;Воронова Л.И.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
301;07;    57;;29.19;320000;Исследования ван-флековских парамагнетиков в высоких магнитных полях;Еремин М.В.;профессор;доцент;доктор физико-математических наук;0;0;0;0;0
305;07;    38;;30.19;480000;Исследование сложных неодномерных эффектов в неоднородно-напряженных твердых деформируемых телах, испытывающих термоупругие мартенситные превращения;Попов А.П.;ведущий научный сотрудник;старший научный сотрудник;доктор физико-математических наук;0;0;0;0;0
311;07;    92;;29.35.03;600000;Развитие мелкомасштабных неоднородностей в ионосферной плазме, возмущенной мощным наклонным радиоизлучением;Мовчан А.А.;заведующий кафедрой;старший научный сотрудник;доктор физико-математических наук;0;0;0;0;0
325;07;    57;;29.29;600000;Ориентационный порядок анизодиаметрических молекул в поверхностных слоях и на межфазных границах;Насыров А.М.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
335;07;    54;;30.19,30.51;560000;Динамический хаос аэpоупpугих систем;Шухова Л.З.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
 50;07;    93;;29.35.03;600000;Разработка новых принципов диагностики ионосферных неоднородностей на основе применения сложных КВ-радиосигналов с различными видами модуляции;Поляков В.А.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
341;07;     6;;30.17;400000;Оптимальное управление гидрофизическими полями в сплошных средах;Алдошин Г.Т.;профессор;доцент;доктор физико-математических наук;0;0;0;0;0
348;07;    92;;30.19;400000;Математическое моделирование колебаний и динамической устойчивости анизотропных оболочек при распределенных и локализованных термосиловых воздействиях;Горшков А.Г.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
351;07;    71;;34.29;500000;Механизмы формирования поведения клеток эукариот;Гольд В.М.;доцент;старший научный сотрудник;кандидат биологических наук;0;0;0;0;0
336;07;    55;;30.51,43;320000;Задача гидроупругости крупных кровеносных сосудов;Ильгамов М.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
377;07;    75;;30.17;400000;Управление нестационарными процессами в газоструйных течениях;Бабешко В.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
379;07;    92;;30.19;320000;Влияние угла атаки твердых частиц на эрозионное разрушение при низких температурах;Лурье С.А.;заведующий кафедрой;доцент;кандидат технических наук;0;0;0;0;0
 51;07;    93;;34.29;400000;Флора города Находка (Приморский край);Ермаков Е.С.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
391;07;   100;;27.39;320000;Системы Чебышева-Маркова в качественных методах анализа краевых задач;Карасев М.В.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
393;07;    71;;27.39;420000;Теория регулярных расширений полугрупп вполне положительных отображений в операторных алгебрах;Цих А.К.;профессор;доцент;доктор физико-математических наук;0;0;0;0;0
396;07;    93;;27.29,30.15;360000;Управление динамическими системами в условиях неопределенности;Муравей Л.А.;доцент;;кандидат физико-математических наук;0;0;0;0;0
412;07;    13;;29.05.29;400000;Проявление дибарионных резонансов в упругом рр-рассеянии;Аракелян С.М.;доцент;;кандидат физико-математических наук;0;0;0;0;0
450;07;     2;;29.35.03;700000;Экспериментальная установка для прецизионных измерений параметров неклассических состояний светового поля;Филатова О.В.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
460;07;     7;;30.17;480000;Переходные слои в газодинамике;Пономарев О.А.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
470;07;    36;;30.17;480000;Диффузионное горение и детонация газокапельных смесей;Петренко В.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 13;07;    17;;31.15.03;500000;Проблемы устойчивости, реакционной способности и каталитической активности катионных p-комплексов Ni(I), находящихся в псевдовырожденном электронном состоянии;Волков В.И.;заведующий кафедрой;профессор;доктор химических наук;0;0;0;0;0
344;07;    36;;30.19;400000;Динамические процессы в тонкостенных конструкциях при действии высокоинтенсивных потоков энергии;Алексеев Г.В.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 24;07;    92;;34.05;700000;Исследование системы аскорбиновой кислоты растений;Терентьева В.С.;профессор;профессор;доктор биологических наук;0;0;0;0;0
 58;07;    55;;31.21,31.21.17;700000;Исследование стереохимии гидроксифосфин-фосфиноксидной и гидроксифосфонат-фосфатной перегруппировок;Халиулин В.И.;заведующий кафедрой;профессор;доктор химических наук;0;0;0;0;0
 59;07;    80;;34.15;560000;Система полыней (Artemisia L.) Алтая;Чижевский В.Б.;профессор;старший научный сотрудник;доктор биологических наук;0;0;0;0;0
302;07;    57;;29.19.29;700000;Электронная структура и сверхпроводимость интеркалированных фуллеритов;Тагиров М.С.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
328;07;    87;;37.15;400000;Исследование тонкой структуры магнитного поля Солнца и ее проявление в межпланетном магнитном поле;Иваницкий В.В.(СПб и-т);старший лаборант;;кандидат физико-математических наук;0;0;0;0;0
151;07;    51;;34.47;480000;Механизмы развития соматической полиплоидии у янтарки (Гастроподы: Пульмонаты);Синеговский С.И.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
 62;07;    92;;31.21,31.21.17;600000;сравнительная реакционная способность производных двухкоординированного фосфора, содержащих P=C-cвязь, и фосфорилированных пи - систем;Молодцов Г.А.;профессор;член-корреспондент АН;доктор химических наук;0;0;0;0;0
 27;07;    97;;29.37;500000;Исследование дисперсии скорости звука в системе оболочка- жидкость акустомагнитным методом;Белопушкин В.И.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 63;07;    41;;31.15;700000;Исследование релаксационных процессов адсорбции на электроде с неоднородной поверхностью;Шапин В.И.;ведущий научный сотрудник;;кандидат химических наук;0;0;0;0;0
 64;07;    41;;29.19.29;600000;Исследование параметров критического состояния высокотемпературных сверхпроводников методом ЭПР примесных ионов;Нуждин В.Н.;ведущий научный сотрудник;старший научный сотрудник;кандидат физико-математических наук;0;0;0;0;0
289;07;    71;;34.37;500000;Механизмы биохимической адаптации окислительных систем растений к стрессовым факторам;Белоног Н.П.;профессор;профессор;;0;0;0;0;0
 11;07;    40;;34.23.35;320000;Внутрипопуляционный полиморфизм дикорастущих видов ржи в связи с систематикой и филогенией рода Secale;Исаев В.А.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
 65;07;    57;;34.25;400000;Исследование биохимических аспектов экологической обособленности бесцветных серобактерий;Куркин И.Н.;доцент;доцент;;0;0;0;0;0
361;07;    57;;29.17;400000;Описание свойств классических жидкостей методом функционального интегрирования в гауссовом эквивалентном представлении;Котов Н.В.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
256;07;    45;;31.15;400000;Калориметрическое изучение состояния и стабильности белковых препаратов в органических растворителях;Кисаров Ю.Ф.;заведующий лабораторией;профессор;доктор химических наук;0;0;0;0;0
136;07;    75;;31.15;500000;Физико-химические закономерности в изменении электронно-оптических свойств структурно-модифицированных металлфталоцианинов и родственных соединений;Березина Н.П.;заведующий кафедрой;доцент;кандидат химических наук;0;0;0;0;0
 71;07;    34;;31.17;400000;Устойчивость и лабильность гетеролигандных комплексов меди(II), кобальта(II) и никеля(II) с аминокислотами и аденозин-5'-трифосфорной кислотой;Исмаилов Т.А.;заведующий лабораторией;старший научный сотрудник;доктор химических наук;0;0;0;0;0
  8;07;    18;;29.35.17;700000;Исследование явления нарушения вероятностной симметрии в точках бифуркаций применительно к задачам восстановления поведения нестационарных динамических систем;Трифонов А.П.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 73;07;    34;;34.35.33,34.05.25;320000;Изучение сезонных и суточных ритмов основных характеристик трофических взаимоотношений фито- и зоопланктона;Исмаилов Т.А.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
 32;07;    92;;29.17;400000;СТАТИСТИЧЕСКИЕ СВОЙСТВА ПАМЯТИ В КОНДЕНСИРОВАННЫХ СРЕДАХ;Исаченков А.Е.;ведущий научный сотрудник;профессор;доктор физико-математических наук;0;0;0;0;0
 32;08;    71;;55.47,55.49;400000;Разработка научных и практических основ прогнозирования новейших и перспективных технологических процессов формообразования пластическим деформированием деталей аэрокосмической техники.;Лопатин В.Н.;начальник лаборатории;академик;доктор технических наук;0;0;0;0;0
 79;08;    80;;55.47;600000;Автоматизированная система  синтеза и анализа преобразователей энергии с постоянными магнитами для автономных систем ЛА в установившихся и пусковых режимах.;Никифоров Б.А.;профессор;профессор;доктор технических наук;0;0;0;0;0
 80;08;    41;;55.47,55.49;700000;Создание технологии и технических средств формообразования, правки, калибровски с электроконтактным нагревом кольцевых заготовок из листовых материалов.;Щелыкалов Ю.Я.;старший научный сотрудник;;кандидат технических наук;0;0;0;0;0
  9;08;    14;;55.49;400000;Исследование влияния холодной пластической деформации и термической обработки на структуру и свойства конструкционных и специальных сплавов титана.;Колодий А.М.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 36;08;    76;;55.47.13,27.43.17;600000;Статистические исследования информационных технологий производства изделей авиакосмической техники.;Рыжков Ю.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 37;08;    35;;55.47,55.49;700000;Изучение свойств новых композиционных материалов с базальтовым наполнителем, разработка технологий их применения в конструкциях сверхлегких летательных аппаратов.;Фрисман Е.Я.;старший преподаватель;;кандидат технических наук;0;0;0;0;0
 38;08;    55;;55.47.13,55.49;700000;Основы теории и расчета  процессов гибки - навивки тонкостенных деталей из биматериалов.;Шапаев И.И.;профессор;профессор;доктор технических наук;0;0;0;0;0
 39;08;   100;;55.20,55.47;600000;Разработка методики расчетов профилей катодов-инструментов и обрабатываемых поверхностей при электрохимическом формообразовании с учетом обрабатываемости материалов.;Петров В.С.;заведующий кафедрой;член-корреспондент АН;доктор технических наук;0;0;0;0;0
 74;08;    96;;55.47.13;400000;Аналитическое и машинное проетирование технологических процессов формообразования сложных деталей.;Кохан Л.С.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 31;08;     4;;55.47,55.49;600000;Разработка научных и практических основ сооздания и производства сверхлегких деталей и агрегатов летательных аппаратов на абзе применения высокожестких структур слоистых металло-композитных конструкци;Сабуров Э.Н.;докторант;доцент;кандидат технических наук;0;0;0;0;0
 43;08;    92;;55.47,55.49;700000;Разработка научных основ и процессов получения высококачественных литых титановых изделий с модифицированной структурой в восстановительной атмосфере водорода и газостатированием пластифицированного в;Станкевич А.И.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 35;08;    77;;55.47,55.49;500000;Развитие системы программного обеспечения проектирования катода-инструмента и расчета формообразования для размерной  электрохимической обработки деталей.;Бухтояров О.И.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
  5;08;    80;;55.47,55.49;700000;Разработка статистических методов контроля качества технологических процессов по критериям статической и циклической прочности.;Чижевский В.Б.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 23;08;    51;;55.47,55.49;500000;Разработка теоретических основ создания защитных покрытий на типовые теплонагруженные элементы конструкций авиации.;Агарышев А.И.;профессор;профессор;доктор технических наук;0;0;0;0;0
 56;08;    80;;55.09.43,55.13;700000;Разработка методики и датчиков непрерывного комплексного контроля технологических параметров процесса изготовления крупногабаритных авиакосмических конструкций из полимерных композиционных материалов.;Сысоев Н.П.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 57;08;    93;;55.47.13;400000;Разработка и технологии изготовления легкого складчатого заполнителя для многослойных панелей двойной кривизны.;Козлов Н.А.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 58;08;    36;;55.47,55.49;500000;Разработка научных основ технологии упрочнения резьбовых соединений термовибрационной обработкой.;Высоцкий В.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 25;08;    57;;55.47.13,55.49.13;600000;Проектирование оснастки для процесса производства листов из волокнистых композиционных материалов методом горячей однопроходной прокатки.;Насыров А.М.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 62;08;    51;;55.47;400000;Разработка и исследование интеллектуальных композиционных материалов.;Корольков А.Т.;профессор;профессор;доктор технических наук;0;0;0;0;0
 63;08;    80;;55.47;600000;Разработка теоретических основ создания (включая технологические приемы) современных композитных материалов с повышенной прочностью и трещиностойкостью,учитывающих процессы накопления рассеянных повре;Селиванов И.А.;ведущий научный сотрудник;старший научный сотрудник;доктор технических наук;0;0;0;0;0
 64;08;    11;;55.47;500000;Разработка и создание двухматричного волокнистого композиционного материала.;Горленко О.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  7;08;    13;;55.47,55.49;600000;Моделирование и оптимизация параметров процесса синтеза композиционных подшипников скольжения.;Панфилов А.В.;старший научный сотрудник;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
 66;08;    55;;55.47,55.49;500000;Полиимидные композиционные материалы многофункционвльного назначения с высокой трещиностойкостью и термоустойчивостью до 400 С.;Даутов О.Ш.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 29;08;    58;;55.47,55.49;500000;Математическое моделирование технологических процессов формообразования деталей.;Герасимов В.В.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
 69;08;    93;;55.47,55.49;600000;Разработка теоретических основ получения многослойных композиционных материалов с помощью комплексных технологий.;Неуструев А.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 48;08;    55;;55.47,55.49;500000;Оптимизация технологий поверхностного упрочнения методом кинетической микротвердости.;Агишев Р.Р.;декан;профессор;доктор физико-математических наук;0;0;0;0;0
 15;08;    11;;55.47.81;700000;Упреждение и предотвращение отказов сложных изделий машиностроения в процессе эксплуатации.;Стешков А.Е.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 32;09;    57;;55.63.01;700000;Разработка теоретических основ пищевой биотехнологии на базе специфических эффектов взаимодействия ЭМП микроволнового диапазона с биообъектом обработки;Юльметьев Р.М.;заведующий отделом;;кандидат технических наук;0;0;0;0;0
 20;09;    18;;55.57,55.57.01;700000;Новое явление при автоматической балансировке роторов сельскохозяйственных машин;Трифонов А.П.;проректор;профессор;доктор технических наук;0;0;0;0;0
 16;09;    93;;55.57,55.57.43;200000;Вакуумная машина для мойки легкоповреждаемой сельскохозяйственной продукции: ягод, фруктов, яиц;Ковалев Ф.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  4;09;    66;;55.57,55.57.01;350000;Разработка основ автоматизированного проектирования несущих конструкций сельскохозяйсвенных машин;Сумин В.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 11;09;    61;;55.57,55.57.31;400000;Теоретические основы технологического процесса и создание комбинированного агрегата для глубокой обработки почвы без оборота пласта;Лиджиева Н.Ц.;профессор;профессор;доктор технических наук;0;0;0;0;0
 17;09;    38;;55.57,55.57.43;500000;Весовое устройство автомобильного кормораздатчика;Алексейчик М.И.;доцент;доцент;кандидат технических наук;0;0;0;0;0
